2025-11-24 18:23:44 INFO  Utils:112 - [TestNG] Running:
  C:\Users\Nawaz\eclipse-workspace\skill_building_P001\master.xml

2025-11-24 18:23:46 INFO  TC_Registration_001:17 - ********** Starting TC_Registration_001 **********
2025-11-24 18:23:46 INFO  TC_Registration_001:23 - Clicked on My Account link
2025-11-24 18:23:47 INFO  TC_Registration_001:25 - Clicked on Register link
2025-11-24 18:23:47 INFO  TC_Registration_001:37 - Entered all the details in registration form
2025-11-24 18:23:48 INFO  TC_Registration_001:39 - Clicked on Continue button
2025-11-24 18:23:48 INFO  TC_Registration_001:42 - Fetched the confirmation message after registration
2025-11-24 18:23:48 INFO  TC_Registration_001:44 - Account registration successful
2025-11-24 18:23:48 INFO  TC_Registration_001:56 - ********** Finished TC_Registration_001 **********
